봇,보유단위,주,총거래수,승률(%),손익비,평균수익(%),평균손실(%),최대수익(%),최대손실(%),수익 평균보유,손실 평균보유,기대값(%/거래),기대값(원/거래),PF,"실현손익합(원,net)",수수료·세금(원),"실현손익합(원,gross)",환율(USDKRW)
통합,혼합,06/08~06/12,3,0.0,0.0,,3.96,,4.35,,,-3.964,-58941,0.0,-176822,1322,-175500,1415.0
통합,혼합,06/15~06/19,14,50.0,3.69,7.79,3.04,19.29,4.76,,,2.378,16263,3.69,227688,2172,229860,1415.0
통합,혼합,06/22~06/26,39,28.2,0.86,5.47,3.16,17.35,20.1,,,-0.727,-5748,0.34,-224174,4434,-219740,1415.0
통합,혼합,06/29~07/03,55,38.2,1.84,3.02,2.95,13.15,5.82,,,-0.67,572,1.14,31442,4659,36101,1415.0
통합,혼합,07/06~07/10,42,42.9,1.53,2.57,2.56,8.68,9.01,,,-0.363,506,1.14,21236,5178,26414,1415.0
통합,혼합,07/13~07/17,10,70.0,8.63,7.98,4.11,11.14,9.65,,,4.349,39530,20.14,395295,1654,396949,1415.0
통합,혼합,07/20~07/24,16,56.2,3.14,6.33,3.59,11.09,11.77,,,1.991,7428,4.04,118846,1274,120120,1415.0
통합,혼합,07/27~07/31,18,44.4,1.24,6.04,3.37,13.51,7.52,,,0.809,-52,0.99,-927,1619,692,1415.0
통합,혼합,08/03~08/07,25,8.0,0.64,0.44,0.72,0.84,2.28,,,-0.627,-9453,0.06,-236325,11325,-225000,1415.0
통합,혼합,08/10~08/14,1,0.0,0.0,,10.01,,10.01,,,-10.012,-71414,0.0,-71414,949,-70465,1411.0
통합,혼합,08/17~08/21,24,33.3,1.04,2.59,3.28,7.7,6.17,,,-1.323,-4186,0.52,-16210,14644,-1566,1373.0
통합,혼합,08/24~08/28,8,50.0,0.1,2.79,3.12,4.37,6.38,,,-0.168,-46189,0.1,-411422,14130,-397292,1383.0
통합,혼합,08/31~09/04,4,0.0,0.0,,2.29,,3.32,,,-2.291,-28942,0.0,-296699,9706,-286993,1386.0
통합,혼합,전체,259,36.7,1.34,4.4,2.78,19.29,20.1,,,-0.143,-1934,0.77,-639486,73066,-566420,

주도주,일,06/08~06/12,3,0.0,0.0,,3.96,,4.35,,0.0,-3.964,-58941,0.0,-176822,1322,-175500,1415.0
주도주,일,06/15~06/19,14,50.0,3.69,7.79,3.04,19.29,4.76,2.71,1.0,2.378,16263,3.69,227688,2172,229860,1415.0
주도주,일,06/22~06/26,11,0.0,0.0,,3.0,,8.44,,0.91,-3.001,-21403,0.0,-235428,2878,-232550,1415.0
주도주,일,06/29~07/03,4,25.0,7.37,4.74,2.94,4.74,4.43,1.0,3.33,-1.022,14731,2.46,58925,1075,60000,1415.0
주도주,일,07/06~07/10,8,50.0,0.67,1.34,1.38,4.21,4.27,0.5,0.0,-0.021,-521,0.67,-4171,1720,-2451,1415.0
주도주,일,07/13~07/17,4,100.0,,8.81,,11.03,,1.0,,8.81,85744,,342974,1131,344105,1415.0
주도주,일,07/20~07/24,6,66.7,2.21,6.75,9.42,11.09,11.77,3.5,8.5,1.361,11916,4.43,71497,583,72080,1415.0
주도주,일,08/17~08/21,2,50.0,1.27,4.87,4.6,4.87,4.6,0.0,3.0,0.133,4036,1.27,8073,427,8500,1373.0
주도주,일,전체,52,40.4,2.2,6.27,3.35,19.29,11.77,1.9,1.52,0.535,5630,1.49,294661,11383,306044,

ROCKET,일,전체,0,,,,,,,,,,,,0,0,0,

ABC-VCP,일,전체,0,,,,,,,,,,,,0,0,0,

TV알림,일,전체,0,,,,,,,,,,,,0,0,0,

2X단타,분,06/22~06/26,27,40.7,1.65,5.47,3.29,17.35,20.1,185.95,187.46,0.274,507,1.14,13680,1530,15210,1415.0
2X단타,분,06/29~07/03,45,37.8,1.11,3.01,2.96,13.15,5.82,313.5,175.2,-0.703,-1271,0.67,-57188,2829,-54359,1415.0
2X단타,분,07/06~07/10,31,41.9,1.8,3.14,2.76,8.68,9.01,247.7,174.67,-0.288,1187,1.3,36789,3306,40095,1415.0
2X단타,분,07/13~07/17,6,50.0,3.53,6.86,4.11,11.14,9.65,533.86,403.59,1.375,8720,3.53,52321,523,52844,1415.0
2X단타,분,07/20~07/24,9,44.4,4.39,7.08,1.26,7.95,2.19,800.2,60.03,2.446,5075,3.51,45679,661,46340,1415.0
